Time,ECG,PCG,ACC
0.0036,-51146.0,-99.4,3038.0
0.0046,-51021.5,-75.8,3027.89898989899
0.0056,-50897.0,-112.6,3018.0
0.0066,-50710.5,-145.8,3018.0
0.0076,-50524.0,-144.0,3017.3939393939395
0.0086,-50286.0,-139.8,3005.2727272727275
0.009600000000000001,-50048.0,-150.00000000000003,2994.0
0.0106,-50108.0,-160.8,2994.0
0.0116,-50168.0,-186.19999999999996,2996.0
0.0126,-50486.5,-213.6,3016.0
0.013600000000000001,-50805.0,-219.0,3034.0
0.014599999999999998,-51022.5,-232.59999999999997,3034.0
0.0156,-51240.0,-231.0,3037.167512690355
0.0166,-51322.5,-163.00000000000006,3063.56345177665
0.0176,-51405.0,-96.59999999999994,3086.0
0.0186,-51518.5,-93.99999999999999,3086.0
0.0196,-51632.0,-109.39999999999999,3089.6243654822333
0.0206,-51662.0,-95.00000000000003,3110.944162436548
0.0216,-51692.0,-51.199999999999925,3124.8
0.0226,-51477.0,-21.00000000000001,3108.8
0.0236,-51262.0,-25.79999999999999,3095.59595959596
0.0246,-50964.0,-29.400000000000006,3093.5757575757575
0.025599999999999998,-50666.0,-15.000000000000043,3091.1065989847716
0.0266,-50479.0,1.3999999999999897,3087.0456852791876
0.0276,-50292.0,2.2000000000000055,3083.747474747475
0.0286,-50184.0,-16.59999999999998,3082.7373737373737
0.0296,-50076.0,-31.20000000000001,3081.1776649746193
0.0306,-50040.5,-25.60000000000001,3078.1319796954313
0.0316,-50005.0,-16.999999999999986,3077.8
0.032600000000000004,-50111.5,-7.799999999999967,3083.8
0.0336,-50218.0,1.799999999999967,3086.787878787879
0.0346,-50395.0,-1.5999999999999543,3082.747474747475
0.0356,-50572.0,-2.4,3077.07614213198
0.0366,-50722.0,16.200000000000074,3067.939086294416
0.0376,-50872.0,47.40000000000009,3057.050505050505
0.0386,-50996.0,74.20000000000006,3042.909090909091
0.0396,-51120.0,79.39999999999998,3033.248730964467
0.0406,-51149.5,62.6000000000001,3031.2182741116753
0.0416,-51179.0,29.000000000000167,3029.2
0.0426,-51037.5,-0.7999999999999989,3027.2
0.0436,-50896.0,-4.599999999999975,3023.5757575757575
0.0446,-50701.0,-15.400000000000066,3017.5151515151515
0.0456,-50506.0,-41.200000000000074,3017.4111675126906
0.0466,-50369.5,-33.999999999999915,3025.532994923858
0.047599999999999996,-50233.0,-8.200000000000097,3033.6363636363635
0.0486,-50110.0,-8.599999999999934,3041.717171717172
0.0496,-49987.0,-18.599999999999973,3046.0
0.0506,-49922.0,-34.2,3046.0
0.0516,-49857.0,-59.80000000000008,3047.0526315789475
0.0526,-49968.0,-59.59999999999995,3049.157894736842
0.0536,-50079.0,-8.199999999999797,3045.8
0.0546,-50289.0,43.800000000000104,3038.8
0.055600000000000004,-50499.0,29.599999999999863,3027.0
0.0566,-50665.0,23.19999999999991,3012.0
0.0576,-50831.0,75.1999999999997,3002.4
0.0586,-50949.5,109.4,2996.4
0.0596,-51068.0,99.79999999999994,2999.4
0.0606,-51103.0,74.79999999999993,3008.4
0.0616,-51138.0,54.99999999999996,3020.842105263158
0.0626,-51002.5,42.99999999999997,3035.5789473684213
0.0636,-50867.0,41.40000000000001,3054.848484848485
0.0646,-50648.0,51.40000000000004,3076.0606060606065
0.0656,-50429.0,37.1999999999999,3087.8477157360408
0.0666,-50264.5,-14.400000000000176,3095.9695431472082
0.06760000000000001,-50100.0,-48.40000000000004,3096.4848484848485
0.06860000000000001,-49968.0,-36.59999999999992,3094.4646464646466
0.06960000000000001,-49836.0,-16.59999999999996,3069.766497461929
0.07060000000000001,-49741.0,-17.600000000000122,3038.2944162436547
0.07160000000000001,-49646.0,-17.199999999999868,3039.2000000000003
0.07260000000000001,-49696.0,8.200000000000614,3048.2000000000003
